국가명,지역,유소년(0-14세)(천명),생산가능(15-64세)(천명),노년(65세이상)(천명),유소년비율(%),생산가능비율(%),노년비율(%),중위연령(세),합계출산율(명),인구증가율(%),고령화단계
일본,동아시아,14488.3,73116.3,36766.3,11.6,58.8,29.6,49.0,1.21,-0.482,초고령사회
한국,동아시아,5677.3,36583.3,9488.1,11.0,70.7,18.3,44.5,0.72,-0.041,고령사회
태국,동남아시아,10819.7,50329.4,10553.3,15.1,70.2,14.7,39.7,1.21,-0.037,고령사회
중국,동아시아,236001.3,982925.3,203658.4,16.6,69.1,14.3,39.1,1.0,-0.236,고령사회
싱가포르,동남아시아,682.4,4348.6,758.1,11.8,75.1,13.1,35.1,0.94,0.807,고령화사회
베트남,동남아시아,23689.0,68011.7,8651.5,23.6,67.8,8.6,32.4,1.91,0.644,고령화사회
말레이시아,동남아시아,7828.9,24680.0,2617.3,22.3,70.3,7.5,30.1,1.55,1.241,고령화사회
미얀마,동남아시아,13271.3,37024.9,3837.6,24.5,68.4,7.1,29.5,2.12,0.69,고령화사회
인도네시아,동남아시아,70113.7,191256.5,19819.8,24.9,68.0,7.0,29.8,2.13,0.828,고령화사회
인도,남아시아,360338.0,978190.7,99540.9,25.1,68.0,6.9,28.1,1.98,0.885,성장형
방글라데시,남아시아,48629.6,111999.8,10837.7,28.4,65.3,6.3,25.3,2.16,1.214,성장형
캄보디아,동남아시아,5246.4,11138.8,1038.7,30.1,63.9,6.0,25.8,2.58,1.253,성장형
필리핀,동남아시아,32867.6,75977.9,6045.8,28.6,66.1,5.3,25.3,1.92,0.835,성장형
몽골,동아시아,1120.1,2144.9,166.9,32.6,62.5,4.9,26.8,2.69,1.302,성장형
파키스탄,남아시아,91670.9,145447.7,10386.0,37.0,58.8,4.2,20.3,3.6,1.48,성장형
